Name,Developer
Macross ? Scramble,
Sudoku Ball Detective,Whitebear
The Ant Bully,Artificial Mind and Movement
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Shu-Hen,
Sega Arcade Gallery,Bits Studios
Tao Adventure: Curse Demon,
"My World, My Way (US sales)",
S.T.A.L.K.E.R.: Clear Sky,GSC Game World
Black Stone: Magic & Steel,
NHRA Drag Racing: Countdown to the Championship,
Sins of a Solar Empire: Trinity,Ironclad Games
Bratz Kidz,Neko Entertainment
Harukanaru Toki no Naka de: Maihitoyo,
Painkiller: Hell Wars,People Can Fly
Housekeeping,
My Hero Academia: Battle for All,
FunkMaster Flex's Digital Hitz Factory,Jester Interactive
Double Value!: ATV Thunder Ridge Riders / Monster Trucks Mayhem,
Greg Hastings Paintball 2,Super X Studios
Sangoku Koi Senki: Otome no Heihou!,
Castlevania Bloodlines,
Hakuouki: Zuisouroku DS,
Detective Conan: Prelude from the Past,
100 Classic Games,Easy Interactive
Luminous Arc 3,
Adventure Time: Explore the Dungeon Because I Don't Know!,
World in Conflict,Massive Entertainment
XBLAZE Code: Embryo,Arc System Works
The Legend of Heroes: Trails in the Sky SC Evolution,
Major League Baseball 2K8,Kush Games
FabStyle,
Rebel Raiders: Operation Nighthawk,Kando Games
Astrology DS,
Zenkoku Dekotora Matsuri,
Cooking Mama: My Sweets Shop,
Super Battle For Money Sentouchuu: Kyuukyoku no Shinobu to Battle Player Choujou Kessen!,
Alienators: Evolution Continues,Digital Eclipse
Onechanbara Z Kagura,
Dead or Alive Xtreme 3: Venus,
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,
Pro Cycling Manager 2016,Cyanide
Pirates: Duels on the High Seas,Oxygen Interactive
MX World Tour Featuring Jamie Little,Impulse Games
PriPara Mezameyo! Megami no Dress Design,
Tomb Raider: Anniversary,Nixxes Software
Sengoku Basara: Sanada Yukimura-Den,
Marines: Modern Urban Combat,Destineer
Infamous: First Light,Sucker Punch
The Idolmaster: Gravure For You! Vol. 4,
Puyo Pop Fever(us sales),
Tour de France 2014,Cyanide
RedCard 20-03,Point of View
Katekyoo Hitman Reborn! DS: Fate of Heat II - Unmei no Futari,
Deal or No Deal: Special Edition,Zoo Games
Puyo Puyo 7,
Asterix & Obelix: Kick Buttix,
Radiant Silvergun,
The Night of the Rabbit,Daedalic Entertainment
Bounty Hounds,Xpec
Care Bears - Care Quest,
Burnout Paradise: The Ultimate Box,
Even in a Game Listen to Me Girls. I Am Your Father!,
Tokyo Majin Gakuen: Kenfuuchou,
Challenge Me: Word Puzzles,O-Games
Boboboubo Boubobo: Ougi 87.5 Bakuretsu Hanage Shinken,
NHRA Drag Racing: Countdown to the Championship,
Zatch Bell! Electric Arena,
TOCA Race Driver 3,Codemasters
A Game of Thrones: Genesis,Cyanide
Gothic Universe,DreamCatcher Interactive
Daito Giken Premium Pachi-Slot Collection: Yoshimune,
Diabolik Lovers: Dark Fate,
Sky Dancers,
Need for Speed (2015),
Silent Scope,Now Production
Deer Drive: Legends,Raylight Studios
World Series of Poker: Tournament of Champions 2007 Edition,
Yggdra Union: We'll Never Fight Alone,
The Cursed Crusade,Kylotonn
Hotel Giant 2,Enlight Software
Gakusen Toshi Asterisk Festa: Houka Kenran,
Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,
Caesar III,Impressions Games
DarkStar One,Ascaron Entertainment GmbH
Wangan Midnight,
ESPN NBA 2Night 2002,Konami
Cabela's Dangerous Hunts 2,FUN Labs
Kekkaishi: Kokubourou no Kage,
"Crouching Tiger, Hidden Dragon",Ubisoft Shanghai
Suzumiya Haruhi no Tsuisou,
Mame Goma: Shiro to Kuro no Meikyuu,
Trap Gunner: Countdown to Oblivion,
Hitman: Blood Money,Io Interactive
Simple DS Series Vol. 8: The Kanshikikan - Kinkyuu Shutsudou!! Jiken Genba wo Touch Seyo,
Harukanaru Toki no Naka de Yumenoukihashi Special,
Duke Nukem 3D: 20th Anniversary World Tour,Gearbox Software
Section 8,TimeGate Studios
Tsuyo Kiss: Mighty Heart,
Sabre Wulf,Rare Ltd.
Alpha Protocol,Obsidian Entertainment
Planescape: Torment,Black Isle Studios
Gacharoku,
Cake Mania: Baker's Challenge,Coresoft
SX Superstar,
Zoo Vet: Endangered Animals,Legacy Interactive
Paddington: Adventures in London,Ravenscourt
Driven,Crawfish Interactive
Star Wars Jedi Knight: Jedi Academy,Raven Software
Red Faction II,Cranky Pants Games
Langrisser: Re:Incarnation Tensei,
Atelier Firis: The Alchemist of the Mysterious Journey,
Original Story from Fairy Tail: Gekitotsu! Kardia Daiseidou,
SD Gundam G Generation: Gather Beat 2,
Battle Engine Aquila,Lost Toys
Hello Kitty: Roller Rescue,
Special Forces: Nemesis Strike,Asobo Studio
Women's Volleyball Championship,Spike
Jikkyou Powerful Pro Yakyuu Wii Ketteiban,
Rakushou! Pachi-Slot Sengen 5: Rio Paradise,
Crimson Tears,DreamFactory
Battle Assault 3 featuring Gundam Seed,Natsume
WRC: FIA World Rally Championship,Traveller's Tales
Hayate no Gotoku! Ojousama Produce Daisakusen Boku Iro ni Somare! Oyashiki-Hen,
Batman Forever: The Arcade Game,
Romance of the Three Kingdoms (3DS),
Living Legends: Frozen Beauty,Playrix Entertainment
Cabela's Outdoor Adventures,MagicWand
Penguins of Madagascar,Little Orbit
Rapala Tournament Fishing!,FUN Labs
Makai Senki Disgaea 4: Fuuka & Desco-hen Hajime Mashita,
Backyard NFL Football 2006,
Superstars V8 Racing,Milestone S.r.l
,
Detective Conan: Phantom Rhapsody,
Mashiro Iro Symphony: *mutsu-no-hana,
Monster Guardians,
Sunday vs Magazine Shuuketsu! Choujou Daikessen,
An American Tail: Fievel's Gold Rush,
Magna Carta Portable,
Diabolik Lovers: More Blood,
Swords,Panic Button
The Italian Job,Climax Group
Super Dodgeball Brawlers (jp sales),
Makai Senki Disgaea Portable: Tsuushin Taisen Hajime Mashita,
Crazy Chicken: Star Karts,MumboJumbo
JoJo's Bizarre Adventure: Eyes of Heaven,CyberConnect2
M&Ms Shell Shocked,
K-On! After School Live!! HD Ver.,
Metal Gear Solid: The Essential Collection (JP sales),
Ukiyo no Shishi,
3D Baseball,
Pachitte Chonmage Tatsujin 12: Pachinko Ultraman,
First Queen: Ornic Senki,
Dream C Club Zero,
Shining Stars,
Medabots 9: Metabee / Rokusho,
The Void,Ice-Pick Lodge
Tail Concerto,
Supreme Ruler: Cold War,BattleGoat Studios
Rise of Nations: Rise of Legends,Big Huge Games
The Sum of All Fears,Ubisoft Shanghai
James Pond: Codename Robocod,
Yumi's Odd Odyssey,Studio Saizensen
Might & Magic X: Legacy,
Night Head: The Labyrinth,
Emma at the Farm,Nobilis
Utawarerumono Portable,
Gaia Saver Hero Saidai no Sakusen,
EverBlue 2,Arika
Kevin Van Dam: Big Bass Challenge,
Sacra Terra: Angelic Night,"Viva Media, Viva Media, LLC"
Higurashi no Naku Koro ni Kizuna: Dai-San-Kan - Rasen,
7 Wonders: Treasures of Seven,
YoKai Watch Dance: Just Dance Special Version,
Safari Adventures: Africa,Conspiracy Entertainment
Junior Island Adventure,"CyberPlanet Interactive Public Co., Ltd., Maximum Family Games"
Clever Kids: Pirates,
Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,
Yumeiro Patissiere: My Sweets Cooking,
Prey,Arkane Studios
Clannad,
Electroplankton,Indies Zero
Just Dance 2017,Ubisoft Paris
PowerSlave,
SBK 2011: FIM Superbike World Championship,
Championship Manager Season 01/02,
Project Gotham Racing 2 (JP weekly sales),
Maximum Racing: Drag & Stock Racer,
CT Special Forces,LSP
Let's Sing 2016,Voxler
Casino Chaos With Las Vegas Players Collection,ValuSoft
Jewel Master: Cradle of Rome,Cerasus Media
Dragon's Dogma Online,
Nancy Drew: Alibi In Ashes,Her Interactive
FIFA World Cup: Germany 2006,EA Canada
Crash Time: Autobahn Pusuit,
Earthworm Jim 2,Super Empire
Angler's Club: Ultimate Bass Fishing 3D,Tamsoft
Dungeon Maker: Hunting Ground,Global A
Zoo Tycoon,
Super Hero Generation,
Tamagotchi no Doki Doki Dream Omisecchi,
MotoGP,Namco Bandai Games
Toushin Toshi,
Trine 2,
Suujin Taisen,
Street Supremacy,Genki
Driv3r,Velez & Dubail
Best Friends Tonight,Ubisoft
Apache: Air Assault,Gaijin Entertainment
Fritz Chess,
River King: Mystic Valley (jp sales),
Winning Post World,
Beyond the Labyrinth,
Call of Juarez: Bound in Blood,Techland
Atelier Sophie: The Alchemist of the Mysterious Book,
Red Faction: Guerrilla,"Volition Inc., Reactor Zero"
.hack: Sekai no Mukou ni + Versus,
Medarot 9: Kabuto Ver. / Kuwagata Ver.,
Disney Sports Soccer,KCEO
Clash of Elementalists,
Rugby 15,HB Studios Multimedia
Cooking Mama 5: Bon Appetit!,
Legend of the Dragon,Neko Entertainment
Mame Goma: Honobo no Nikki,
F1 2016 (Codemasters),
Disney's Hide & Sneak,
Deus Ex: Mankind Divided,"Eidos Montreal, Nixxes Software"
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,
Nobunaga no Yabou: Kakushin with Power-Up Kit,
Astonishia Story,Sonnori
Raw Danger!,
Monster Rancher Hop-A-Bout,
3DS Classic Collection,
Prince of Persia: The Forgotten Sands,Ubisoft Montreal
Custom Beat Battle: Draglade 2,
Gotouchi Kenkei DS,
The Sims 2: Glamour Life Stuff,Maxis
Bikkuriman Daijiten,
Accel World: Ginyoku no Kakusei,
Elf Bowling 1 & 2,
Turbo: Super Stunt Squad,Torus Games
Game of Thrones (Telltale),
GunGriffon: Allied Strike,Game Arts
Batman: A Telltale Game Series,
Mystery Case Files: Ravenhearst,Big Fish Games
Stacked with Daniel Negreanu,3G Studios
Vitamin X Evolution,
Saru! Get You! SaruSaru Daisakusen,
Midnight Mysteries: The Edgar Allan Poe Conspiracy,MumboJumbo
Barbie and Her Sisters Puppy Rescue,"Torus Games, Little Orbit"
Arthur and the Invisibles,
The Flintstones: Big Trouble in Bedrock,
RACE On,SimBin
PopCap Arcade Vol 2,PopCap
Sekai no Hate Made Itte Q! Chinjuu Hunter Mono no Daibouken,
Summon Night 6: Lost Borders,Media Vision
Majesty 2: The Fantasy Kingdom Sim,"1C, Ino-Co, 1C Company"
Silverlicious,CokeM Interactive
Smart Girl's Winter Wonderland,UFO Interactive
BeatMania IIDX 14 Gold,
Big Ichigeki! Pachi-Slot Taikouryku Universal Museum,
Toriko: Ultimate Survival,
Song of the Deep,Insomniac Games
Vegas Casino,Magnin & Associates
The Binding of Isaac,"Edmund McMillen, Florian Himsl"
Madou Monogatari,
Maximum Racing: GP Classic Racing,Nordic Games Publishing
Togainu no Chi: True Blood,
Castlevania: Lords of Shadow - Reverie,
Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,
Tork: Prehistoric Punk,Tiwak
Chicken Shoot 2,Zuxxez
Tokyo Xanadu eX+,
Airship Q,
A Good Librarian Like a Good Shepherd: Library Party,
Overlord II,Triumph Studios
Flipper Critters,Zen Studios
River City Super Sports Challenge,Million
Sea Park Tycoon,Most Wanted Entertainment
Underground Pool,FrontLine Studios
Pachinko Kamen Rider: Shocker Zenmetsu Daisakusen,
Accel World: Ginyoku no Kakusei,
Travel Coach: Europe 1,
Jikandia: The Timeless Land,Opus Studio
Classic Dungeon: Fuyoku no Masoujin,
Rampo,
Toy Shop,"Gameinvest, Seed Studios, Lda"
DiRT Rally,Codemasters
Trials Fusion,RedLynx
SuperCar Challenge,System 3
My Pet Shop (JP sales),
Prison Architect,"Introversion, Double Eleven"
Hallowed Legends: Samhain,
Exstetra,
Dodge Racing: Charger vs Challenger,EM Studios
Hakuoki Zuisouroku Omokage Hana,
Beastly,Visual Impact
Gokujou!! Mecha Mote Iinchou: MM My Best Friend!,
Rome: Total War - Gold Edition,Creative Assembly
Breath of Fire III,Capcom
Biker Mice From Mars,Full Fat
Atelier Shallie Plus: Alchemists of the Dusk Sea,Gust
Hiiro no Kakera 2: Hisui no Shizuku,
Summer Athletics 2009,
PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,
JoJo's Bizarre Adventure: Eyes of Heaven,
Pro Yakyuu Spirits 5 Kanzenban,
Rugby World Cup 2015,HB Studios Multimedia
Sorcery Saga: The Curse of the Great Curry God,Zerodiv
Cabela's Big Game Hunter: Pro Hunts,Cauldron Ltd.
Hajime no Ippo: The Fighting! (2014),
Game of Thrones (Telltale),
Dance Factory,Broadsword Interactive
Totally Spies!,
Jig-A-Pix: Wild World,Frame Studios Interactive
DragonHeart: Fire & Steel,
Chaos;Head - Love Chu*Chu!,
Nishijin Pachinko Monogatari 2,
The Walking Dead: Season One,
Hyperdimension Neptunia Re;Birth 2,
RoadKill,Terminal Reality
The Legend of Heroes III: Song of the Ocean,Microvision
Combat Mission: Shock Force,Big Time Software
Top Gun: Hard Lock,505 Games
Alia's Carnival! Sacrament,
F1 2002,EA Sports
Mushihimesama Futari Ver 1.5,
Pocket Fighter,
Toaru Majutsu no Kagaku no Ensemble,
Ojyousama Express,
Starsky & Hutch,
Sitting Ducks,LSP
Brothers Conflict: Brilliant Blue,
Garfield: A Tale of Two Kitties,Two Tribes
Men of War,Best Way
Eyeshield 21: Field Saikyou no Senshi Tachi,
Fullmetal Alchemist: Brotherhood,
Bad Apple Wars,Otomate
To LoveRu Trouble: Waku Waku! Rinkangakkou-Hen,
House M.D.,Legacy Interactive
thinkSMART FAMILY!,Mentor Interactive
Ultimate Block Party,Magicpot
Last Escort: Club Katze,
Renai Revenge,
Stacked with Daniel Negreanu,5000ft
Mahjong 300,
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wei-Hen,
Konami Classics Series: Arcade Hits,M2
WRC 5: FIA World Rally Championship,
Infinite Stratos 2: Ignition Hearts,
Otometeki Koi Kakumei * Love Revo,
Guitar Hero: World Tour,Neversoft Entertainment
Super Meat Boy: Ultra Edition!,
Dr. Muto,Midway
Super Heroine Chronicle,
Otomedius Gorgeous,
Egg Mania: Eggstreme Madness,Kemco
Alter Ego,"Viva Media, Viva Media, LLC"
Kiniro no Corda 3,
Zero Escape: Virtue's Last Reward,ChunSoft
Darkstalkers Resurrection,Iron Galaxy Studios
Transformers: Devastation,PlatinumGames
MotoGP 15,Milestone S.r.l
Highschool Terra Story,
Summer Athletics: The Ultimate Challenge,49Games
The Golf Club,HB Studios Multimedia
Emergency! Disaster Rescue Squad,
Neverwinter Nights,BioWare
Suggoi! Arcana Heart 2,
Crazy Machines,
Ebikore Photo Kano Kiss ,
East India Company Collection,Nitro Games
Mother Goose no Himitsu no Yakata,
Fast & Furious: Showdown,
Winning Post 7 2009,
Puzzle & Action: Tant-R,
Code Lyoko: Quest for Infinity,Neko Entertainment
The Voice,Activision
Digimon World 4,Bandai
Guilty Gear XX Accent Core Plus,Arc System Works
Kekkaishi: Kokubourou Shuurai,
Galleon: Islands of Mystery,Confounding Factor
Montessori Music,Will
World Sports Competition,
Shugo Chara! Amunonijiro Chara Change,
Renai 0 Kilometer,
Sunny Garcia Surfing,Krome Studios
Far East of Eden Shinden,
Tantei Jinguuji Saburo DS: Kienai Kokoro,
Lock On: Modern Air Combat,Eagle Dynamics
MotorHead,
Max & the Magic Marker,
Ao no Kanata no Four Rhythm,
StormLover,
Gloria Union,
Gensou Suikoden I & II,
Worms: WMD,Team 17
Shaun White Skateboarding,Ubisoft Montreal
Eyeshield 21: DevilBats DevilDays,
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,
Jyuzaengi: Engetsu Sangokuden,
Ratatouille,Asobo Studio
Shin Sangoku Musou Online: Kamishou Ranbu,
Rabbids Land,Ubisoft Paris
Dancing Blade II: Tears of Eden,
Kokoro no Kokoron,
Hiiro no Kakera 3: Aoikuro no Kusabi,
BeatMania IIDX 13: DistorteD,
Guild Wars,ArenaNet
Go! Go! Hypergrind,
Great Edo Blacksmith,
Keshisasu-Kun: Battle Kas-tival,
Kaidan Restaurant: Zoku! Shin Menu 100-Sen,
Peak Performance,
Take On Helicopters,Bohemia Interactive
Young Justice: Legacy,Farsight Studios
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,
DokiDoki Majo Shinpan! 2,
S.L.A.I.: Steel Lancer Arena International,Genki
Freaky Flyers,Midway
Nacho Libre,BudCat
Power Rangers Super Megaforce ,Bandai Namco Games
Homeworld 2,Relic
Zoboomafoo: Leapin' Lemurs!,
Rayman 3: Hoodlum Havoc,Ubisoft
Dennou Senki Virtual-On Force,
Rugby 15,HB Studios Multimedia
Nettou! Powerful Koushien,
Graffiti Kingdom,Taito Corporation
King Arthur II,
Armored Core SL: Silent Line Portable,
Looney Tunes: Galactic Sports,Virtual Toys
To LoveRu Trouble: Doki Doki! Rinkaigakkou-Hen,
Combat Elite: WWII Paratroopers,BattleBorne
Lethal Enforcers I & II,
Bubble Bobble Evolution,Opus
Klonoa 2: Dream Champ Tournament,Namco
Who Wants to be a Millionaire: 1st Edition,
N+,"Metanet Software Inc., SilverBirch Studios"
Minna no Golf Jou Vol.1,
Ducati World Racing Challenge,Attention To Detail
Super Collapse! II,
Pop'n Music 14 Fever!,
Golden Nugget Casino / Texas Hold 'Em Double Pack,
Judie no Atelier: Guramnat no Renkinjutsu - Toraware no Morito,
Lux-Pain (JP sales),
Smashing Drive,Raylight Studios
Away: Shuffle Dungeon,"Mistwalker, Artoon"
Big Mountain 2000,
Starshot: Space Circus Fever,
Charlie Blasts Territory,
Senko no Ronde DUO,
Knights of Honor,Black Sea Studios
CIMA: The Enemy,Neverland
Tokimeki Memorial Girl's Side 1st Love Plus,
The Inner World,Headup Games
Katekyoo Hitman Reborn! Kizuna no Tag Battle,
Code Geass: Hangyaku no Lelouch,
Terraria,"Engine Software, Re-Logic"
Hudson x GReeeeN Live!? DeeeeS!?,
Daibakushou: Jinsei Gekijou,
Marble Madness / Klax,Frame Studios Interactive
Downstream Panic!,
Suzumiya Haruhi no Chokuretsu,
DJ Max Portable 3,"PM Studios Inc., Pentavision Entertainment"
Boot Camp Academy,Ubisoft
The Idolmaster: Gravure For You! Vol. 5,
S.Y.K Renshouden,
Empire Earth II,Mad Doc Software
Hiiro no Kakera: Shin Tamayori Hime Denshou - Piece of Future,
Pet Alien: An Intergalactic Puzzlepalooza,Shin'en
Nectaris: Military Madness,
Galaxy Angel II: Mugen Kairou no Kagi,
D.C.I.F.: Da Capo Innocent Finale,
Konpeki no Kantai,
Who Wants to be a Millionaire: 1st Edition,
BRAHMA Force: The Assault on Beltlogger 9,
Tenka-bito,
Hot Pixel,zSlide
Doodle Hex,Tragnarion Studios
Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,
Valentino Rossi: The Game,Milestone S.r.l
Katekyoo Hitman Reborn! DS: Ore ga Boss! Saikyou Family Taisen,
Codename: Panzers Cold War,Stormregion
Samurai Spirits: Tenkaichi Kenkakuden,
Robo Pit,
Story Hour: Adventures,Other Ocean Interactive
Muv-Luv Alternative: Total Eclipse,
R-Type III: The Third Lightning,Raylight Studios
Star Wars: The Force Unleashed II,LucasArts
Heathcliff! The Fast and the Furriest,Storm City Games
Darius Burst: Chronicle Saviours,
Blokus Portable: Steambot Championship,Irem
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,
Hakuouki,
Atomic Betty,"Big Blue Bubble Inc., Breakthrough New Media"
"Princess Natasha: Student, Secret Agent, Princess",
Doom,id Software
Robin Hood: Defender of the Crown,Atomic Planet Entertainment
Monster Hunter Frontier Online: Season 10,
Street Jam Basketball,Prograph
Armored Core: Last Raven Portable,From Software
Master of Monsters: Disciples of Gaia,
SD Gundam: Gashapon Wars,
Curious George,Monkey Bar Games
Disney's Aladdin,Disney Interactive
Virtual Pool: Tournament Edition,Celeris
Phantasy Star Online 2: Episode 3 Deluxe Package,
SimCity,Maxis
Nippon no Asoko de,
Harry Potter and the Half-Blood Prince,EA Bright Light
Higurashi no Naku Koro ni Iki,
Harley-Davidson: Road Trip,Destineer
MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,
MapleStory DS,
Playmobil Top Agents,Dreamcatcher
Doom 3 BFG Edition,id Software
Pimp My Ride: Street Racing,Virtuos
Romance of the Three Kingdoms II,
Popeye: Rush for Spinach,Magic Pockets
Culdcept,NEC Interchannel
Blue Breaker: Ken Yorimo Hohoemi o,
Bladestorm: Nightmare,Koei Tecmo Games
BeatMania IIDX 15: DJ Troopers,
Gekiatsu!! Pachi Game Tamashi Vol. 1: CR Evangelion - Shinjitsu no Tsubasa,
Planet of the Apes,Torus Games
OZMAFIA!! -vivace-,
Drake & Josh: Talent Showdown,
Hissatsu Pachinko Collection 3,
Real World Golf,"Aqua Pacific, In2Games"
Kung Fu Panda: Showdown of Legendary Legends,"Vicious Cycle, Little Orbit"
Oumagatoki: Kaidan Romance,
GTR Evolution,SimBin
Mahjong Kakutou Club: Zenkoku Taisenban,
Hayate no Gotoku! Nightmare Paradise,
Lords of the Fallen,"City Interactive, Deck 13"
NBA 08,SCEA
Sins of a Solar Empire,Ironclad Games
New Tokyo Legacy: Operation Babel,
The Wolf Among Us,
HappinessCharge PreCure! Kawarun Collection,
Nanashi no Game Me,
NBA 2K13,Visual Concepts
Resident Evil 4,Capcom
DICE: DNA Integrated Cybernetic Enterprises,Natsume
007: Quantum of Solace,Treyarch
Treasure Gaust: Gaust Diver Crimson Red / Deep Purple,
Megpoid the Music#,
Batman: A Telltale Game Series,Telltale Games
Wallace & Gromit in Project Zoo,
Boulder Dash: Rocks!,
Grid Runner,
Saihai no Yukue,
Metal Dungeon,Panther Software
Drome Racers,Attention To Detail
World of Zoo,Blue Fang Games
Guitar Freaks V & DrumMania V,
Tago Akira no Atama no Taisou Dai-1-Shuu: Nazotoki Sekai Isshuu Ryokou,
Royal Palace of White Sword and The City of Gentiles,
Triple Pack: Xbox Live Arcade Compilation,Various
Gekido Advance: Kintaro's Revenge,Naps Team
Dream Pinball 3D,TopWare Interactive
Future Tactics: The Uprising,
Winter Sports 3: The Great Tournament,49Games
Power Poke Dash,
Hisshou Pachinko*Pachi-Slot Kouryaku Series DS Vol. 4: Shinseiki Evangelion - Saigo no Mono,
Detective Opera: Milky Holmes 2,
Nisekoi: Yomeiri!?,
Blaze Union: Story to Reach the Future,
Barbie and Her Sisters Puppy Rescue,"Torus Games, Little Orbit"
Handball 16,EKO Software
Commander: Conquest of the Americas,Nitro Games
World of Tanks,Microsoft Game Studios
LEGO Pirates of the Caribbean: The Video Game,Traveller's Tales
Race Driver 2006,Sumo Digital
Higurashi no Naku Koro ni Kizuna: Dai-Yon-Kan - Kizuna,
Samurai Warriors: Sanada Maru,Omega Force
Buffy the Vampire Slayer: Wrath of the Darkhul King,Natsume
Battlefield 1942: The WW II Anthology,
Genkai Tokki: Seven Pirates,
Gekiatsu!! Pachi Game Tamashi Vol. 2: CR Evangelion - Shinjitsu no Tsubasa,
Parfait,
Mighty No. 9,Inti Creates
Roadsters,
Merv Griffin's Crosswords,
DeathSmiles II,
The Great Mystery Hidden Object Package 5,
Kenka Bancho Otome,
Calcio Bit,
Star Trek: The Game,
Whiteout,Konami
Galaxy Angel II: Zettairyouiki no Tobira,
Kung Fu Panda: Legendary Warriors,Artificial Mind and Movement
Hyakumanton no Bara Bara,
Superdimension Neptune vs Sega Hard Girls,Compile Heart
The Talos Principle,Croteam
Hajime no Ippo: The Fighting,
Sokukoku no Kusabi: Hiiro no Kakera 3 Portable,
Spectral Souls: Resurrection of the Ethereal Empires,"Neverland, Idea Factory"
Syberia II,Microids
Motor Trend presents Lotus Challenge,Kuju Entertainment
Braid,"Number None Inc., Knockout Games"
Gudetama: Hanjuku de Tanomuwa,
LEGO Legends of Chima: Laval's Journey,TT Games
Bleach DS 4th: Flame Bringer,
Syberia,Microids
Pacific Liberator,Team6 Game Studios
Tago Akira no Atama no Taisou Dai-2-Shuu: Ginga Oudan Nazotoki Adventure,
The King of Fighters Portable '94~'98: Chapter of Orochi,
Puzzle Challenge: Crosswords and More!,
Turn It Around,"Taito Corporation, 505 Games"
Nisenochigiri: Omoide no Saki e,
Jack Keane,Legacy Interactive
Girls Only,
Monsters vs. Aliens,Beenox
In Cold Blood,
Fireblade,Kuju Entertainment
Kamigami no Asobi,
Harukanaru Toki no Naka de 6,
Kong: King of Atlantis,SkyRiver Studios
Kidou Senshi V Gundam,
Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,
Wrestle Angels: Survivor 2,
Onechanbara Z Kagura,
Ride,Milestone S.r.l
The King of Fighters 02/03,SNK
ESPN Winter X Games: Snowboarding 2002,Konami
Mega Minis Volume 2,
Safari Adventures: Africa,Conspiracy Entertainment
Tsuku Monogatari,
Vitamin Z,
Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,
Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wu-Hen,
Battle vs. Chess,Targem Games
Harukanaru Toki no Naka de 5: Kazahanaki,
The Island of Dr. Frankenstein,Storm City Games
Tom and Jerry in War of the Whiskers,
Nobunaga no Yabou DS 2,
The IdolM@ster: Gravure For You! Vol. 6,
Metal Saga: Hagane no Kisetsu,
Animaniacs: The Great Edgar Hunt,Warthog
SingStar Fussballhits,
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,
Dream Club Zero Portable,
LEGO Harry Potter: Years 1-4,Traveller's Tales
Samurai Warriors 2,
Bus Simulator 16,Still Alive Studios
Mystery Trackers: The Void,Big Fish Games
Diabolik Lovers: Lunatic Parade,
Battle Arena Toshinden URA,
The Croods: Prehistoric Party!,
Betty Boop's Double Shift,DSI Games
Battle vs. Chess,"Targem Games, TopWare Interactive"
Biohazard: Revival Selection,
Cabela's Big Game Hunter: Pro Hunts,Cauldron Ltd.
Labyrinth Cross Blood: Infinity,
Super Duper Sumos,Handheld Games
UK Truck Simulator,
CID The Dummy,Twelve Games
MechAssault: Phantom War,Backbone Entertainment
Loading Human,
The Settlers II 10th Anniversary,
The Last Guy,SCE Japan Studio
Disney Sports Soccer,Konami
Kangokutou Mary Skelter,
101-in-1 Sports Party Megamix,Nordcurrent
Akane Iro ni Somaru Saka Parallel,
Otome wa Oanesama ni Koi Shiteru Portable: 2-Jin no Elder,
Monster Hunter Frontier Online: Forward 1,
SingStar Chartbreaker,
Botanicula,Amanita Design
D1 Professional Drift Grand Prix Series,Yuke's
Max Payne,Mobius Entertainment
Timeshock! Pro Pinball,
Little Bears,B-Alive
Starry ? Sky: In Winter,
Rush Hour,
Pro Cast Sports Fishing,Capcom
Gintama: Banji Oku Chuubu!,
Pro Evolution Soccer 2012,
Saka Agari Hurricane Portable,
Negima!? Dream Tactic Yumemiru Otome Princess,
Rugby League Live,
Star Trek: Tactical Assault,Quicksilver Software
Cossacks: European Wars,GSC Game World
Yuusha Shisu.,
MX vs. ATV Supercross,Nordic Games Publishing
Dakar 2: The World's Ultimate Rally,
Sengoku Basara: Sanada Yukimura-Den,
Kisuato,
NBA 2K7,"Kush Games, Visual Concepts"
Auto Modellista,Capcom
"Hanayaka Kana, Ware ga Ichizoku Twin Pack",
1000 Cooking Recipes from ELLE à table,
Greg Hastings' Tournament Paintball Max'd,"Machineworks Northwest, WXP"
Dave Mirra Freestyle BMX 3,Full-Fat
Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,
Kintaihi Shounen no Jiken: Kyakusen Eris-Gou no Sangeki,
XBLAZE Code: Embryo,Arc System Works
Eco Creatures: Save The Forest,Headlock
Frogger: Ancient Shadow,Hudson Soft
Kaizoku Sentai Gokaiger: Atsumete Henshin! 35 Sentai!,
Dragon Tamer: Sound Spirit,
Dream Girl Premier,
Kiniro no Corda 2 f Encore,
La Pucelle: Ragnarok,
Darius II,
